Country,Country Code,Year,Poverty Rate (%)
Sub-Saharan Africa,SSF,2023,45.6
Slovak Republic,SVK,2023,0.5
Slovenia,SVN,2023,0.0
Sweden,SWE,2023,0.8
Thailand,THA,2023,0.0
Tajikistan,TJK,2023,7.3
Turkiye,TUR,2023,0.2
Upper middle income,UMC,2023,2.0
Uruguay,URY,2023,0.2
United States,USA,2023,1.2
Uzbekistan,UZB,2023,4.1
World,WLD,2023,10.6
Argentina,ARG,2024,1.0
Armenia,ARM,2024,0.8
Bolivia,BOL,2024,2.1
Brazil,BRA,2024,3.0
Chile,CHL,2024,0.4
Colombia,COL,2024,8.5
Comoros,COM,2024,5.1
Costa Rica,CRI,2024,1.3
Dominican Republic,DOM,2024,0.8
East Asia & Pacific,EAS,2024,2.0
Europe & Central Asia,ECS,2024,0.6
Ecuador,ECU,2024,7.3
Fragile and conflict affected situations,FCS,2024,41.6
Georgia,GEO,2024,4.2
High income,HIC,2024,0.6
Honduras,HND,2024,15.7
IDA total,IDA,2024,35.9
Indonesia,IDN,2024,5.4
Kyrgyz Republic,KGZ,2024,2.2
Lao PDR,LAO,2024,7.1
Latin America & Caribbean,LCN,2024,4.3
Lower middle income,LMC,2024,12.5
Low & middle income,LMY,2024,12.1
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,14.4
Mexico,MEX,2024,1.6
North America,NAC,2024,0.9
Pakistan,PAK,2024,23.0
Panama,PAN,2024,3.1
Peru,PER,2024,5.1
Paraguay,PRY,2024,2.1
South Asia,SAS,2024,3.8
Sub-Saharan Africa,SSF,2024,45.1
Thailand,THA,2024,0.0
Tajikistan,TJK,2024,6.1
Upper middle income,UMC,2024,1.8
Uruguay,URY,2024,0.2
United States,USA,2024,1.1
Uzbekistan,UZB,2024,2.7
World,WLD,2024,10.4
